Task,Variant,Group,Tool,File1,File2,Score
T1_WordCount,_clang_O2,gemini,radiff2,2_clang_O2,3_clang_O2,0.942
T1_WordCount,_clang_O2,gemini,radiff2,2_clang_O2,4_clang_O2,0.971
T1_WordCount,_clang_O2,gemini,radiff2,2_clang_O2,5_clang_O2,0.954
T1_WordCount,_clang_O2,gemini,radiff2,3_clang_O2,4_clang_O2,0.938
T1_WordCount,_clang_O2,gemini,radiff2,3_clang_O2,5_clang_O2,0.943
T1_WordCount,_clang_O2,gemini,radiff2,4_clang_O2,5_clang_O2,0.973
T1_WordCount,_clang_O2,gpt5,ssdeep,1_clang_O2,2_clang_O2,0
T1_WordCount,_clang_O2,gpt5,ssdeep,1_clang_O2,3_clang_O2,0
T1_WordCount,_clang_O2,gpt5,ssdeep,1_clang_O2,4_clang_O2,0
T1_WordCount,_clang_O2,gpt5,ssdeep,1_clang_O2,5_clang_O2,0
T1_WordCount,_clang_O2,gpt5,ssdeep,2_clang_O2,3_clang_O2,0
T1_WordCount,_clang_O2,gpt5,ssdeep,2_clang_O2,4_clang_O2,0
T1_WordCount,_clang_O2,gpt5,ssdeep,2_clang_O2,5_clang_O2,0
T1_WordCount,_clang_O2,gpt5,ssdeep,3_clang_O2,4_clang_O2,74
T1_WordCount,_clang_O2,gpt5,ssdeep,3_clang_O2,5_clang_O2,69
T1_WordCount,_clang_O2,gpt5,ssdeep,4_clang_O2,5_clang_O2,69
T1_WordCount,_clang_O2,gpt5,sdhash,2_clang_O2,3_clang_O2,019
T1_WordCount,_clang_O2,gpt5,sdhash,1_clang_O2,4_clang_O2,031
T1_WordCount,_clang_O2,gpt5,sdhash,2_clang_O2,1_clang_O2,023
T1_WordCount,_clang_O2,gpt5,sdhash,1_clang_O2,5_clang_O2,024
T1_WordCount,_clang_O2,gpt5,sdhash,4_clang_O2,5_clang_O2,073
T1_WordCount,_clang_O2,gpt5,sdhash,2_clang_O2,4_clang_O2,021
T1_WordCount,_clang_O2,gpt5,sdhash,2_clang_O2,5_clang_O2,020
T1_WordCount,_clang_O2,gpt5,sdhash,3_clang_O2,1_clang_O2,027
T1_WordCount,_clang_O2,gpt5,sdhash,3_clang_O2,4_clang_O2,081
T1_WordCount,_clang_O2,gpt5,sdhash,3_clang_O2,5_clang_O2,074
T1_WordCount,_clang_O2,gpt5,radiff2,1_clang_O2,2_clang_O2,0.932
T1_WordCount,_clang_O2,gpt5,radiff2,1_clang_O2,3_clang_O2,0.966
T1_WordCount,_clang_O2,gpt5,radiff2,1_clang_O2,4_clang_O2,0.963
T1_WordCount,_clang_O2,gpt5,radiff2,1_clang_O2,5_clang_O2,0.955
T1_WordCount,_clang_O2,gpt5,radiff2,2_clang_O2,3_clang_O2,0.942
T1_WordCount,_clang_O2,gpt5,radiff2,2_clang_O2,4_clang_O2,0.943
T1_WordCount,_clang_O2,gpt5,radiff2,2_clang_O2,5_clang_O2,0.956
T1_WordCount,_clang_O2,gpt5,radiff2,3_clang_O2,4_clang_O2,0.986
T1_WordCount,_clang_O2,gpt5,radiff2,3_clang_O2,5_clang_O2,0.974
T1_WordCount,_clang_O2,gpt5,radiff2,4_clang_O2,5_clang_O2,0.973
T1_WordCount,_O3,human,ssdeep,1_O3,2_O3,0
T1_WordCount,_O3,human,ssdeep,1_O3,3_O3,0
T1_WordCount,_O3,human,ssdeep,1_O3,4_O3,0
T1_WordCount,_O3,human,ssdeep,1_O3,5_O3,0
T1_WordCount,_O3,human,ssdeep,2_O3,3_O3,0
T1_WordCount,_O3,human,ssdeep,2_O3,4_O3,0
T1_WordCount,_O3,human,ssdeep,2_O3,5_O3,0
T1_WordCount,_O3,human,ssdeep,3_O3,4_O3,0
T1_WordCount,_O3,human,ssdeep,3_O3,5_O3,0
T1_WordCount,_O3,human,ssdeep,4_O3,5_O3,0
T1_WordCount,_O3,human,sdhash,1_O3,4_O3,016
T1_WordCount,_O3,human,sdhash,4_O3,5_O3,009
T1_WordCount,_O3,human,sdhash,2_O3,4_O3,012
T1_WordCount,_O3,human,sdhash,1_O3,5_O3,006
T1_WordCount,_O3,human,sdhash,2_O3,5_O3,010
T1_WordCount,_O3,human,sdhash,3_O3,1_O3,005
T1_WordCount,_O3,human,sdhash,3_O3,4_O3,013
T1_WordCount,_O3,human,sdhash,3_O3,5_O3,007
T1_WordCount,_O3,human,radiff2,1_O3,2_O3,0.856
T1_WordCount,_O3,human,radiff2,1_O3,3_O3,0.871
T1_WordCount,_O3,human,radiff2,1_O3,4_O3,0.909
T1_WordCount,_O3,human,radiff2,1_O3,5_O3,0.899
T1_WordCount,_O3,human,radiff2,2_O3,3_O3,0.874
T1_WordCount,_O3,human,radiff2,2_O3,4_O3,0.847
T1_WordCount,_O3,human,radiff2,2_O3,5_O3,0.836
T1_WordCount,_O3,human,radiff2,3_O3,4_O3,0.855
T1_WordCount,_O3,human,radiff2,3_O3,5_O3,0.853
T1_WordCount,_O3,human,radiff2,4_O3,5_O3,0.909
T1_WordCount,_O3,gemini,ssdeep,1_O3,2_O3,44
T1_WordCount,_O3,gemini,ssdeep,1_O3,3_O3,46
T1_WordCount,_O3,gemini,ssdeep,1_O3,4_O3,0
T1_WordCount,_O3,gemini,ssdeep,1_O3,5_O3,0
T1_WordCount,_O3,gemini,ssdeep,2_O3,3_O3,0
T1_WordCount,_O3,gemini,ssdeep,2_O3,4_O3,0
T1_WordCount,_O3,gemini,ssdeep,2_O3,5_O3,0
T1_WordCount,_O3,gemini,ssdeep,3_O3,4_O3,0
T1_WordCount,_O3,gemini,ssdeep,3_O3,5_O3,44
T1_WordCount,_O3,gemini,ssdeep,4_O3,5_O3,43
